model,mse,r2,directional_accuracy,n
HAR-RV,0.16700824666994565,0.2889132338436441,1.0,4680
XGBoost,0.12049060760735716,0.48697577380681156,1.0,4680
MLPLOB,0.2477505696265561,-0.05487097123597495,1.0,4680
