window,n,har_r2,xgb_r2,mlplob_r2
same-regime (calm test),112,0.1645816395638876,-0.07509788791499505,-4.317998142877941
2024-03-01 -> 2024-03-12,265,-1.2376170037080358,-2.3067356987636307,-290.71144578376254
2024-03-15 -> 2024-03-27,289,-9.518256906843346,-23.42469647864525,-2240.917733774877
2024-04-13 -> 2024-04-24,265,-2.7424076646890807,-7.1917846505558405,-739.457626869894
2024-08-05 -> 2024-08-19,337,-2.1676541560336027,-4.1859377378065865,-1035.163822590971
2025-03-01 -> 2025-03-17,385,-2.100921669227946,-4.45437504684033,-714.2108041090148
2026-02-03 -> 2026-02-13,241,-6.9174249371468175,-14.882646430292226,-2850.095638758651
