feature,coefficient,abs_coef,avg_abs_shift,risk_score
momentum_168h,-0.0015108101564784713,0.0015108101564784713,4.917112534140938,0.007428823557127723
momentum_24h,-0.0010533228230725324,0.0010533228230725324,0.6062610822649019,0.0006385886346902753
realized_vol_24h,-4.5527819837810446e-05,4.5527819837810446e-05,4.8025394231227745,0.00021864914961991578
realized_vol_168h,-5.922023406877042e-06,5.922023406877042e-06,12.823842379976176,7.59430947403207e-05
realized_vol_6h,-2.2201854206172016e-05,2.2201854206172016e-05,3.214915273557402,7.137708018871707e-05
momentum_6h,-0.00018678645228187686,0.00018678645228187686,0.28416723676308114,5.307859000972006e-05
dow_cos,-6.833716909703339e-05,6.833716909703339e-05,0.08017739092990005,5.479095921735531e-06
dow_sin,-2.656380378882379e-05,2.656380378882379e-05,0.17227118154897458,4.576177865135802e-06
rsi_14h,-1.3468867238572405e-05,1.3468867238572405e-05,0.27192368516941195,3.6625040145701697e-06
hour_cos,0.00023813701900301452,0.00023813701900301452,0.013097792574727643,3.1190692792654592e-06
hour_sin,-0.00014746381286660502,0.00014746381286660502,0.014301557378029836,2.108962180894806e-06
volume_zscore_168h,-1.6209637558686187e-05,1.6209637558686187e-05,0.07786704691651732,1.2621966082819586e-06
