window,n,ridge_r2,ridge_diracc,xgb_r2,xgb_diracc,mlplob_r2,mlplob_diracc
same-regime (calm test),112,-0.0673937220926406,0.5535714285714286,-0.34996543583433515,0.5089285714285714,-17.719379257065253,0.5178571428571429
2024-03-01 -> 2024-03-12,265,-0.026660120179941682,0.47924528301886793,-0.02925332595949004,0.5471698113207547,-44.07723020541509,0.5509433962264151
2024-03-15 -> 2024-03-27,289,-0.004773504717491939,0.4844290657439446,-0.023873246494678924,0.5259515570934256,-24.37527790688802,0.5121107266435986
2024-04-13 -> 2024-04-24,265,0.0034323927511794583,0.5471698113207547,0.009905960064768737,0.5433962264150943,-29.497956821174636,0.4867924528301887
2024-08-05 -> 2024-08-19,337,-0.0006548551743030817,0.4688427299703264,-0.024771254311484636,0.49554896142433236,-41.793174424771124,0.49258160237388726
2025-03-01 -> 2025-03-17,385,-0.00043315265561649774,0.5168831168831168,-0.0116644255154148,0.5116883116883116,-31.89335830907656,0.5272727272727272
2026-02-03 -> 2026-02-13,241,-0.011418958601103535,0.47717842323651455,-0.022445450837035086,0.4605809128630705,-50.768658526413645,0.45643153526970953
